信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,累计利润率
2015-01-05,sh510050,3900.0,2.622,10226.82258,2.592,10107.789120000001,-119.03345999999874,-0.011639339498544302,-0.011639339498544302
2015-01-06,sh510050,3900.0,2.592,10108.800000000001,2.588,10093.2,-15.600000000000364,-0.0015432098765432458,-0.013182549375087548
2015-01-07,sh510050,3900.0,2.588,10093.2,2.518,9820.199999999999,-273.0000000000018,-0.02704791344667715,-0.0402304628217647
2015-01-08,sh510050,3900.0,2.518,9820.199999999999,2.524,9843.6,23.400000000001455,0.002382843526608568,-0.037847619295156135
2015-01-09,sh510050,3900.0,2.524,9843.6,2.5,9750.0,-93.60000000000036,-0.009508716323296392,-0.047356335618452525
2015-01-12,sh510050,3900.0,2.5,9750.0,2.485,9691.5,-58.5,-0.006,-0.05335633561845252
2015-01-13,sh510050,3900.0,2.485,9691.5,2.494,9726.6,35.100000000000364,0.0036217303822938,-0.049734605236158726
2015-01-14,sh510050,3900.0,2.494,9726.6,2.586,10085.4,358.7999999999993,0.036888532477946996,-0.01284607275821173
2015-01-15,sh510050,3900.0,2.586,10085.4,2.604,10155.6,70.20000000000073,0.006960556844547636,-0.005885515913664093
2015-01-16,sh510050,3900.0,2.604,10155.6,2.344,9141.6,-1014.0,-0.09984639016897082,-0.10573190608263491
2015-01-19,sh510050,3900.0,2.344,9141.6,2.361,9207.900000000001,66.30000000000109,0.0072525597269625765,-0.09847934635567233
2015-01-20,sz159915,6100.0,1.657,10108.710770000002,1.668,10173.782519999999,65.07174999999734,0.006437195749344536,-0.0920421506063278
2015-01-21,sh510050,4000.0,2.503,10013.0012,2.499,9995.0004,-18.0007999999998,-0.001797742718736496,-0.09383989332506429
2015-01-22,sz159915,6000.0,1.683,10099.0098,1.638,9827.0172,-271.9925999999996,-0.026932600857561263,-0.12077249418262555
2015-01-23,sz159915,6000.0,1.638,9828.0,1.686,10116.0,288.0,0.029304029304029304,-0.09146846487859625
2015-01-26,sz159915,6000.0,1.686,10116.0,1.688,10128.0,12.0,0.0011862396204033216,-0.09028222525819293
2015-01-27,sz159915,6000.0,1.688,10128.0,1.668,10008.0,-120.0,-0.011848341232227487,-0.10213056649042042
2015-01-28,sz159915,6000.0,1.668,10008.0,1.652,9912.0,-96.0,-0.009592326139088728,-0.11172289262950914
2015-01-29,sz159915,6000.0,1.652,9912.0,1.623,9738.0,-174.0,-0.017554479418886198,-0.12927737204839534
2015-01-30,sz159915,6000.0,1.623,9738.0,1.639,9834.0,96.0,0.009858287122612447,-0.1194190849257829
2015-02-02,sz159915,6000.0,1.639,9834.0,1.693,10158.0,324.0,0.03294691885295912,-0.08647216607282379
2015-02-03,sz159915,6000.0,1.693,10158.0,1.698,10188.0,30.0,0.0029533372711163615,-0.08351882880170743
2015-02-04,sz159915,6000.0,1.698,10188.0,1.709,10254.0,66.0,0.006478209658421673,-0.07704061914328575
2015-02-05,sz159915,6000.0,1.709,10254.0,1.661,9966.0,-288.0,-0.028086600351082503,-0.10512721949436825
2015-02-06,sz159915,6000.0,1.661,9966.0,1.645,9870.0,-96.0,-0.00963275135460566,-0.11475997084897391
2015-02-09,sz159915,6000.0,1.645,9870.0,1.685,10110.0,240.0,0.0243161094224924,-0.0904438614264815
2015-02-10,sz159915,6000.0,1.685,10110.0,1.705,10230.0,120.0,0.011869436201780416,-0.0785744252247011
2015-02-11,sz159915,6000.0,1.705,10230.0,1.72,10320.0,90.0,0.008797653958944282,-0.0697767712657568
2015-02-12,sz159915,6000.0,1.72,10320.0,1.761,10566.0,246.0,0.023837209302325583,-0.04593956196343123
2015-02-13,sz159915,6000.0,1.761,10566.0,1.83,10980.0,414.0,0.039182282793867124,-0.006757279169564104
2015-02-16,sz159915,6000.0,1.83,10980.0,1.82,10920.0,-60.0,-0.00546448087431694,-0.012221760043881043
2015-02-17,sz159915,6000.0,1.82,10920.0,1.803,10818.0,-102.0,-0.00934065934065934,-0.021562419384540385
2015-02-25,sz159915,6000.0,1.803,10818.0,1.814,10884.0,66.0,0.006100942872989462,-0.015461476511550923
2015-02-26,sz159915,6000.0,1.814,10884.0,1.863,11178.0,294.0,0.02701212789415656,0.011550651382605638
2015-02-27,sz159915,6000.0,1.863,11178.0,1.914,11484.0,306.0,0.027375201288244767,0.03892585267085041
2015-03-02,sz159915,6000.0,1.914,11484.0,1.883,11298.0,-186.0,-0.01619644723092999,0.022729405439920417
2015-03-03,sz159915,6000.0,1.883,11298.0,1.94,11640.0,342.0,0.03027084439723845,0.05300024983715887
2015-03-04,sz159915,6000.0,1.94,11640.0,1.938,11628.0,-12.0,-0.0010309278350515464,0.05196932200210732
2015-03-05,sz159915,6000.0,1.938,11628.0,1.88,11280.0,-348.0,-0.029927760577915376,0.022041561424191943
2015-03-06,sz159915,6000.0,1.88,11280.0,1.927,11562.0,282.0,0.025,0.04704156142419194
2015-03-09,sz159915,6000.0,1.927,11562.0,1.972,11832.0,270.0,0.0233523611831863,0.07039392260737824
2015-03-10,sz159915,6000.0,1.972,11832.0,1.96,11760.0,-72.0,-0.006085192697768763,0.06430872990960948
2015-03-11,sz159915,6000.0,1.96,11760.0,1.94,11640.0,-120.0,-0.01020408163265306,0.05410464827695642
2015-03-12,sz159915,6000.0,1.94,11640.0,1.992,11952.0,312.0,0.026804123711340205,0.08090877198829663
2015-03-13,sz159915,6000.0,1.992,11952.0,2.061,12366.0,414.0,0.03463855421686747,0.1155473262051641
2015-03-16,sz159915,6000.0,2.061,12366.0,2.053,12318.0,-48.0,-0.0038816108685104317,0.11166571533665366
2015-03-17,sz159915,6000.0,2.053,12318.0,2.099,12594.000000000002,276.0000000000018,0.02240623477837326,0.13407195011502693
2015-03-18,sz159915,6000.0,2.099,12594.000000000002,2.095,12570.000000000002,-24.0,-0.0019056693663649354,0.132166280748662
2015-03-19,sz159915,6000.0,2.095,12570.000000000002,2.126,12756.0,185.99999999999818,0.01479713603818601,0.146963416786848
2015-03-20,sz159915,6000.0,2.126,12756.0,2.206,13236.0,480.0,0.03762935089369708,0.18459276768054506
2015-03-23,sz159915,6000.0,2.206,13236.0,2.273,13638.0,402.0,0.030371713508612876,0.21496448118915792
2015-03-24,sz159915,6000.0,2.273,13638.0,2.288,13727.999999999998,89.99999999999818,0.006599208095028463,0.22156368928418638
2015-03-25,sz159915,6000.0,2.288,13727.999999999998,2.19,13140.0,-587.9999999999982,-0.04283216783216771,0.17873152145201868
2015-03-26,sz159915,6000.0,2.19,13140.0,2.228,13368.000000000002,228.00000000000182,0.01735159817351612,0.1960831196255348
2015-03-27,sz159915,6000.0,2.228,13368.000000000002,2.193,13158.0,-210.00000000000182,-0.015709156193896005,0.18037396343163878
2015-03-30,sz159915,6000.0,2.193,13158.0,2.247,13482.0,324.0,0.024623803009575923,0.2049977664412147
2015-03-31,sz159915,6000.0,2.247,13482.0,2.296,13775.999999999998,293.9999999999982,0.02180685358255438,0.22680462002376908
2015-04-01,sz159915,6000.0,2.296,13775.999999999998,2.369,14214.000000000002,438.00000000000364,0.03179442508710828,0.2585990451108774
2015-04-02,sz159915,6000.0,2.369,14214.000000000002,2.391,14346.0,131.99999999999818,0.009286618826508946,0.26788566393738633
2015-04-03,sz159915,6000.0,2.391,14346.0,2.438,14628.000000000002,282.0000000000018,0.019657047260560563,0.2875427111979469
2015-04-07,sz159915,6000.0,2.438,14628.000000000002,2.377,14261.999999999998,-366.00000000000364,-0.025020508613617966,0.2625222025843289
2015-04-08,sz159915,6000.0,2.377,14261.999999999998,2.466,14796.000000000002,534.0000000000036,0.03744215397559975,0.29996435655992865
2015-04-09,sz159915,6000.0,2.466,14796.000000000002,2.424,14544.0,-252.00000000000182,-0.017031630170316423,0.2829327263896122
2015-04-10,sh510050,3500.0,2.936,10277.0276,2.991,10467.45315,190.42554999999993,0.01852924380586464,0.3014619701954768
2015-04-13,sh510050,3500.0,2.991,10468.5,2.999,10496.5,28.0,0.0026746907388833165,0.30413666093436015
2015-04-14,sz159915,4100.0,2.44,10005.000399999999,2.33,9552.0447,-452.9556999999986,-0.045272931723220985,0.25886372921113915
2015-04-15,sh510050,3400.0,3.011,10238.42374,3.145,10691.9307,453.5069600000006,0.04429460740408861,0.30315833661522773
2015-04-16,sh510050,3400.0,3.145,10693.0,3.185,10829.0,136.0,0.012718600953895072,0.31587693756912283
2015-04-17,sh510050,3400.0,3.185,10829.0,3.103,10550.2,-278.7999999999993,-0.025745682888539963,0.2901312546805829
