信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,累计利润率
2015-01-05,sh510050,3900.0,2.622,10226.82258,2.592,10107.789120000001,-119.03345999999874,-0.011639339498544302,-0.011639339498544302
2015-01-06,sh510050,3900.0,2.592,10108.800000000001,2.588,10093.2,-15.600000000000364,-0.0015432098765432458,-0.013182549375087548
2015-01-07,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-08,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-09,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-12,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-13,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-14,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013182549375087548
2015-01-15,sh510050,3900.0,2.586,10086.40854,2.604,10154.58444,68.17590000000018,0.0067591848703760895,-0.006423364504711458
2015-01-16,sh510050,3900.0,2.604,10155.6,2.344,9141.6,-1014.0,-0.09984639016897082,-0.10626975467368227
2015-01-19,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10626975467368227
2015-01-20,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10626975467368227
2015-01-21,sh510050,4000.0,2.503,10013.0012,2.499,9995.0004,-18.0007999999998,-0.001797742718736496,-0.10806749739241876
2015-01-22,sh510050,4000.0,2.499,9996.0,2.524,10096.0,100.0,0.010004001600640256,-0.0980634957917785
2015-01-23,sh510050,4000.0,2.524,10096.0,2.519,10076.0,-20.0,-0.0019809825673534074,-0.10004447835913191
2015-01-26,sh510050,4000.0,2.519,10076.0,2.478,9912.0,-164.0,-0.01627630011909488,-0.11632077847822679
2015-01-27,sh510050,4000.0,2.478,9912.0,2.442,9768.0,-144.0,-0.014527845036319613,-0.1308486235145464
2015-01-28,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1308486235145464
2015-01-29,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1308486235145464
2015-01-30,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1308486235145464
2015-02-02,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1308486235145464
2015-02-03,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1308486235145464
2015-02-04,sz159915,5900.0,1.698,10019.201819999998,1.709,10082.091690000001,62.8898700000027,0.006276934144041697,-0.12457168937050471
2015-02-05,sz159915,5900.0,1.709,10083.1,1.661,9799.9,-283.2000000000007,-0.028086600351082576,-0.1526582897215873
2015-02-06,sz159915,5900.0,1.661,9799.9,1.645,9705.5,-94.39999999999964,-0.009632751354605623,-0.1622910410761929
2015-02-09,sz159915,5900.0,1.645,9705.5,1.685,9941.5,236.0,0.0243161094224924,-0.1379749316537005
2015-02-10,sz159915,5900.0,1.685,9941.5,1.705,10059.5,118.0,0.011869436201780416,-0.1261054954519201
2015-02-11,sz159915,5900.0,1.705,10059.5,1.72,10148.0,88.5,0.008797653958944282,-0.11730784149297581
2015-02-12,sz159915,5900.0,1.72,10148.0,1.761,10389.9,241.89999999999964,0.023837209302325545,-0.09347063219065027
2015-02-13,sz159915,5900.0,1.761,10389.9,1.83,10797.0,407.10000000000036,0.03918228279386716,-0.05428834939678311
2015-02-16,sz159915,5900.0,1.83,10797.0,1.82,10738.0,-59.0,-0.00546448087431694,-0.05975283027110005
2015-02-17,sz159915,5900.0,1.82,10738.0,1.803,10637.699999999999,-100.30000000000109,-0.009340659340659443,-0.0690934896117595
2015-02-25,sz159915,5900.0,1.803,10637.699999999999,1.814,10702.6,64.90000000000146,0.0061009428729896,-0.0629925467387699
2015-02-26,sz159915,5900.0,1.814,10702.6,1.863,10991.7,289.10000000000036,0.027012127894156593,-0.03598041884461331
2015-02-27,sz159915,5900.0,1.863,10991.7,1.914,11292.6,300.89999999999964,0.027375201288244732,-0.008605217556368578
2015-03-02,sz159915,5900.0,1.914,11292.6,1.883,11109.7,-182.89999999999964,-0.01619644723092996,-0.024801664787298536
2015-03-03,sz159915,5900.0,1.883,11109.7,1.94,11446.0,336.2999999999993,0.030270844397238383,0.005469179609939846
2015-03-04,sz159915,5900.0,1.94,11446.0,1.938,11434.199999999999,-11.800000000001091,-0.0010309278350516418,0.004438251774888205
2015-03-05,sz159915,5900.0,1.938,11434.199999999999,1.88,11092.0,-342.1999999999989,-0.029927760577915283,-0.025489508803027076
2015-03-06,sz159915,5900.0,1.88,11092.0,1.927,11369.300000000001,277.3000000000011,0.0250000000000001,-0.0004895088030269779
2015-03-09,sz159915,5900.0,1.927,11369.300000000001,1.972,11634.8,265.4999999999982,0.02335236118318614,0.02286285238015916
2015-03-10,sz159915,5900.0,1.972,11634.8,1.96,11564.0,-70.79999999999927,-0.0060851926977687,0.01677765968239046
2015-03-11,sz159915,5900.0,1.96,11564.0,1.94,11446.0,-118.0,-0.01020408163265306,0.0065735780497374
2015-03-12,sz159915,5900.0,1.94,11446.0,1.992,11752.8,306.7999999999993,0.026804123711340142,0.033377701761077544
2015-03-13,sz159915,5900.0,1.992,11752.8,2.061,12159.9,407.10000000000036,0.034638554216867505,0.06801625597794506
2015-03-16,sz159915,5900.0,2.061,12159.9,2.053,12112.699999999999,-47.20000000000073,-0.0038816108685104916,0.06413464510943456
2015-03-17,sz159915,5900.0,2.053,12112.699999999999,2.099,12384.1,271.40000000000146,0.022406234778373234,0.0865408798878078
2015-03-18,sz159915,5900.0,2.099,12384.1,2.095,12360.500000000002,-23.599999999998545,-0.001905669366364818,0.08463521052144299
2015-03-19,sz159915,5900.0,2.095,12360.500000000002,2.126,12543.4,182.89999999999782,0.01479713603818598,0.09943234655962897
2015-03-20,sz159915,5900.0,2.126,12543.4,2.206,13015.4,472.0,0.03762935089369709,0.13706169745332605
2015-03-23,sz159915,5900.0,2.206,13015.4,2.273,13410.7,395.3000000000011,0.03037171350861296,0.167433410961939
2015-03-24,sz159915,5900.0,2.273,13410.7,2.288,13499.199999999999,88.49999999999818,0.00659920809502846,0.17403261905696746
2015-03-25,sz159915,5900.0,2.288,13499.199999999999,2.19,12921.0,-578.1999999999989,-0.042832167832167756,0.1312004512247997
2015-03-26,sz159915,5900.0,2.19,12921.0,2.228,13145.2,224.20000000000073,0.017351598173516038,0.14855204939831573
2015-03-27,sz159915,5900.0,2.228,13145.2,2.193,12938.7,-206.5,-0.01570915619389587,0.13284289320441986
2015-03-30,sz159915,5900.0,2.193,12938.7,2.247,13257.3,318.59999999999854,0.02462380300957581,0.15746669621399567
2015-03-31,sz159915,5900.0,2.247,13257.3,2.296,13546.4,289.10000000000036,0.021806853582554547,0.17927354979655022
2015-04-01,sz159915,5900.0,2.296,13546.4,2.369,13977.100000000002,430.70000000000255,0.031794425087108204,0.21106797488365842
2015-04-02,sz159915,5900.0,2.369,13977.100000000002,2.391,14106.9,129.79999999999745,0.009286618826508893,0.2203545937101673
2015-04-03,sz159915,5900.0,2.391,14106.9,2.438,14384.2,277.3000000000011,0.019657047260560515,0.2400116409707278
2015-04-07,sz159915,5900.0,2.438,14384.2,2.377,14024.3,-359.90000000000146,-0.02502050861361782,0.21499113235710998
2015-04-08,sz159915,5900.0,2.377,14024.3,2.466,14549.400000000001,525.1000000000022,0.037442153975599655,0.2524332863327096
2015-04-09,sz159915,5900.0,2.466,14549.400000000001,2.424,14301.6,-247.8000000000011,-0.017031630170316375,0.23540165616239325
2015-04-10,sh510050,3500.0,2.936,10277.0276,2.991,10467.45315,190.42554999999993,0.01852924380586464,0.2539308999682579
2015-04-13,sh510050,3500.0,2.991,10468.5,2.999,10496.5,28.0,0.0026746907388833165,0.25660559070714123
2015-04-14,sz159915,4100.0,2.44,10005.000399999999,2.33,9552.0447,-452.9556999999986,-0.045272931723220985,0.21133265898392023
2015-04-15,sh510050,3400.0,3.011,10238.42374,3.145,10691.9307,453.5069600000006,0.04429460740408861,0.2556272663880088
2015-04-16,sh510050,3400.0,3.145,10693.0,3.185,10829.0,136.0,0.012718600953895072,0.2683458673419039
2015-04-17,sh510050,3400.0,3.185,10829.0,3.103,10550.2,-278.7999999999993,-0.025745682888539963,0.24260018445336395
2015-04-20,sh510050,3400.0,3.103,10550.2,3.141,10679.4,129.1999999999989,0.012246213341927064,0.254846397795291
