date,product
2015-01-05,sh510050
2015-01-06,sh510050
2015-01-07,sh510050
2015-01-08,sh510050
2015-01-09,sh510050
2015-01-12,sh510050
2015-01-13,sh510050
2015-01-14,sh510050
2015-01-15,sh510050
2015-01-16,sh510050
2015-01-19,sh510050
2015-01-20,sz159915
2015-01-21,sh510050
2015-01-22,sh510050
2015-01-23,sh510050
2015-01-26,sh510050
2015-01-27,sz159915
2015-01-28,sz159915
2015-01-29,sz159915
2015-01-30,sz159915
2015-02-02,sz159915
2015-02-03,sz159915
2015-02-04,sz159915
2015-02-05,sz159915
2015-02-06,sz159915
2015-02-09,sz159915
2015-02-10,sz159915
2015-02-11,sz159915
2015-02-12,sz159915
2015-02-13,sz159915
2015-02-16,sz159915
2015-02-17,sz159915
2015-02-25,sz159915
2015-02-26,sz159915
2015-02-27,sz159915
2015-03-02,sz159915
2015-03-03,sz159915
2015-03-04,sz159915
2015-03-05,sz159915
2015-03-06,sz159915
2015-03-09,sz159915
2015-03-10,sz159915
2015-03-11,sz159915
2015-03-12,sz159915
2015-03-13,sz159915
2015-03-16,sz159915
2015-03-17,sz159915
2015-03-18,sz159915
2015-03-19,sz159915
2015-03-20,sz159915
2015-03-23,sz159915
2015-03-24,sz159915
2015-03-25,sz159915
2015-03-26,sz159915
2015-03-27,sz159915
2015-03-30,sz159915
2015-03-31,sz159915
2015-04-01,sz159915
2015-04-02,sz159915
2015-04-03,sz159915
2015-04-07,sz159915
2015-04-08,sz159915
2015-04-09,sz159915
2015-04-10,sz159915
2015-04-13,sh510050
2015-04-14,sh510050
2015-04-15,sh510050
2015-04-16,sh510050
2015-04-17,sh510050
2015-04-20,sh510050
2015-04-21,sz159915
2015-04-22,sh510050
2015-04-23,sh510050
2015-04-24,sz159915
2015-04-27,sz159915
2015-04-28,sh510050
2015-04-29,sz159915
2015-04-30,sz159915
2015-05-04,sh510050
2015-05-05,sh510050
2015-05-06,sz159915
2015-05-07,sz159915
2015-05-08,sz159915
2015-05-11,sz159915
2015-05-12,sz159915
2015-05-13,sz159915
2015-05-14,sz159915
2015-05-15,sz159915
2015-05-18,sz159915
2015-05-19,sz159915
2015-05-20,sz159915
2015-05-21,sz159915
2015-05-22,sz159915
2015-05-25,sz159915
2015-05-26,sz159915
2015-05-27,sz159915
2015-05-28,sz159915
2015-05-29,sz159915
2015-06-01,sz159915
2015-06-02,sz159915
2015-06-03,sz159915
2015-06-04,sz159915
2015-06-05,sz159915
2015-06-08,sz159915
2015-06-09,sz159915
2015-06-10,sz159915
2015-06-11,sz159915
2015-06-12,sz159915
2015-06-15,sz159915
2015-06-16,sz159915
2015-06-17,sz159915
2015-06-18,sz159915
2015-06-19,sz159915
2015-06-23,sz159915
2015-06-24,sz159915
2015-06-25,空仓
2015-06-26,空仓
2015-06-29,空仓
2015-06-30,空仓
2015-07-01,空仓
2015-07-02,空仓
2015-07-03,空仓
2015-07-06,空仓
2015-07-07,sh511010
2015-07-08,sh511010
2015-07-09,sh511010
2015-07-10,sh511010
2015-07-13,sh511010
2015-07-14,sh511010
2015-07-15,sh511010
2015-07-16,sh511010
2015-07-17,sh511010
2015-07-20,sh511010
2015-07-21,sh511010
2015-07-22,sh511010
2015-07-23,sh511010
2015-07-24,sh511010
2015-07-27,sh511010
2015-07-28,sh511010
2015-07-29,sh511010
2015-07-30,sh511010
2015-07-31,sh511010
2015-08-03,sh511010
2015-08-04,sh511010
2015-08-05,sh511010
2015-08-06,sh511010
2015-08-07,sh511010
2015-08-10,sz159915
2015-08-11,sz159915
2015-08-12,sz159915
2015-08-13,sz159915
2015-08-14,sz159915
2015-08-17,sz159915
2015-08-18,sz159915
2015-08-19,sh511010
2015-08-20,sh511010
2015-08-21,sh511010
2015-08-24,空仓
2015-08-25,空仓
2015-08-26,空仓
2015-08-27,sh511010
2015-08-28,sh511010
2015-08-31,sh511010
2015-09-01,sh511010
2015-09-02,sh511010
2015-09-07,sh511010
2015-09-08,空仓
2015-09-09,sh511010
2015-09-10,sh511010
2015-09-11,空仓
2015-09-14,sh511010
2015-09-15,sh511010
2015-09-16,空仓
