,date,product
0,2015-01-05,sh510050
1,2015-01-20,sz159915
2,2015-01-21,sh510050
3,2015-01-22,sz159915
4,2015-04-10,sh510050
5,2015-04-14,sz159915
6,2015-04-15,sh510050
7,2015-04-29,sz159915
8,2015-06-19,空仓
9,2015-07-02,sh511010
10,2015-07-03,空仓
11,2015-07-07,sh511010
12,2015-07-29,sz159915
13,2015-07-30,sh511010
14,2015-08-06,sz159915
15,2015-08-12,sh511010
16,2015-08-14,sz159915
17,2015-08-18,空仓
18,2015-08-26,sh511010
19,2015-08-28,空仓
20,2015-08-31,sh511010
21,2015-09-10,空仓
22,2015-09-17,sh511010
23,2015-09-25,sh510050
24,2015-09-29,sz159915
25,2015-12-02,sh510050
26,2015-12-03,sz159915
27,2015-12-08,sh511010
28,2015-12-17,sz159915
29,2015-12-22,sh511010
30,2015-12-23,sh510050
31,2015-12-28,sh511010
32,2015-12-29,sh510050
33,2016-01-04,sh511010
34,2016-01-28,空仓
35,2016-02-03,sh511010
36,2016-02-17,sz159915
37,2016-02-25,sh511010
38,2016-03-03,sh510050
39,2016-03-30,sz159915
40,2016-04-20,sh510050
41,2016-04-21,空仓
42,2016-04-26,sh510050
43,2016-04-27,空仓
44,2016-04-28,sh510050
45,2016-05-04,空仓
46,2016-05-05,sz159915
47,2016-05-06,空仓
48,2016-05-24,sh511010
49,2016-05-31,sz159915
50,2016-06-02,sh511010
51,2016-06-03,sz159915
52,2016-06-06,空仓
53,2016-06-07,sz159915
54,2016-07-07,sh510050
55,2016-07-08,sz159915
56,2016-07-11,sh510050
57,2016-07-13,sz159915
58,2016-07-27,sh510050
59,2016-08-03,sh511010
60,2016-08-08,sh510050
61,2016-08-11,sh511010
62,2016-08-12,sh510050
63,2016-08-29,sz159915
64,2016-08-31,sh510050
65,2016-09-06,sz159915
66,2016-09-07,sh510050
67,2016-09-08,sz159915
68,2016-09-14,空仓
69,2016-09-22,sh511010
70,2016-09-23,空仓
71,2016-09-26,sh511010
72,2016-10-10,sz159915
73,2016-10-17,sh511010
74,2016-10-21,sh510050
75,2016-12-14,空仓
76,2017-01-13,sh511010
77,2017-01-18,sh510050
78,2017-02-22,sz159915
79,2017-03-29,空仓
80,2017-04-05,sh510050
81,2017-04-14,sh511010
82,2017-04-17,sh510050
83,2017-04-18,sh511010
84,2017-04-19,空仓
85,2017-04-25,sh510050
86,2017-04-26,空仓
87,2017-05-16,sh510050
88,2017-05-18,空仓
89,2017-05-19,sh510050
90,2017-07-03,sz159915
91,2017-07-05,sh510050
92,2017-08-14,sz159915
93,2017-09-15,sh510050
94,2017-09-18,sz159915
95,2017-10-16,sh510050
96,2017-12-01,sh511010
97,2017-12-04,sh510050
98,2017-12-07,sh511010
99,2017-12-11,sh510050
100,2017-12-12,空仓
101,2017-12-13,sh511010
102,2018-01-02,sh510050
103,2018-01-05,sz159915
104,2018-01-08,sh510050
105,2018-02-08,sh511010
106,2018-03-01,sz159915
107,2018-03-02,sh511010
108,2018-03-09,sz159915
109,2018-04-12,sh511010
110,2018-04-26,sz159915
111,2018-05-02,sh511010
112,2018-05-09,sh510050
113,2018-05-10,sz159915
114,2018-05-11,sh511010
115,2018-05-15,sz159915
116,2018-05-18,sh510050
117,2018-05-21,sz159915
118,2018-05-28,sh511010
119,2018-05-29,空仓
120,2018-05-31,sh510050
121,2018-06-01,空仓
122,2018-06-04,sh510050
123,2018-06-07,空仓
124,2018-06-08,sh511010
125,2018-06-12,空仓
126,2018-06-13,sh511010
127,2018-06-28,空仓
128,2018-06-29,sh511010
129,2018-07-19,sz159915
130,2018-07-27,sh510050
131,2018-08-08,sh511010
132,2018-08-09,sh510050
133,2018-08-14,sh511010
134,2018-08-17,空仓
135,2018-09-03,sh510050
136,2018-09-06,空仓
137,2018-09-14,sh510050
138,2018-09-17,空仓
139,2018-09-18,sh510050
140,2018-10-08,sh511010
141,2018-10-10,sh510050
142,2018-10-11,sh511010
143,2018-10-19,sh510050
144,2018-10-26,sh511010
145,2018-11-12,sz159915
146,2018-12-06,sh511010
147,2018-12-11,sz159915
148,2018-12-12,sh511010
149,2019-01-21,sh510050
150,2019-02-18,sz159915
151,2019-04-08,sh510050
152,2019-05-06,空仓
153,2019-05-13,sh511010
154,2019-06-11,sh510050
155,2019-07-16,sz159915
156,2019-07-31,sh511010
157,2019-08-02,sz159915
158,2019-08-05,sh511010
159,2019-08-12,sz159915
160,2019-08-13,sh511010
161,2019-08-16,sz159915
162,2019-09-26,sh510050
163,2019-10-18,空仓
164,2019-10-21,sh510050
165,2019-10-22,空仓
