date,product
2015-01-05,sh510050
2015-01-19,sh511010
2015-01-20,sz159915
2015-01-23,sh510050
2015-01-26,sz159915
2015-04-08,sh510050
2015-04-09,sz159915
2015-04-14,sh510050
2015-04-24,sz159915
2015-04-27,sh510050
2015-04-29,sz159915
2015-05-04,sh510050
2015-05-05,sz159915
2015-06-18,空仓
2015-06-30,sh511010
2015-07-02,空仓
2015-07-07,sh511010
2015-07-24,sh510050
2015-07-27,sh511010
2015-08-04,sz159915
2015-08-11,sh511010
2015-08-12,sz159915
2015-08-14,空仓
2015-08-27,sh511010
2015-09-08,空仓
2015-09-09,sh511010
2015-09-10,空仓
2015-09-15,sh511010
2015-09-23,sh510050
2015-09-28,sz159915
2015-12-02,sh510050
2015-12-03,sz159915
2015-12-04,sh511010
2015-12-16,sz159915
2015-12-18,sh511010
2015-12-21,sh510050
2015-12-30,sz159915
2015-12-31,sh511010
2016-01-26,空仓
2016-02-01,sh511010
2016-02-15,sz159915
2016-02-23,sh511010
2016-02-24,sz159915
2016-02-25,sh511010
2016-03-01,sh510050
2016-03-24,sz159915
2016-04-20,sh511010
2016-04-21,空仓
2016-04-22,sh510050
2016-04-25,空仓
2016-04-26,sh510050
2016-04-28,空仓
2016-05-03,sz159915
2016-05-04,空仓
2016-05-13,sh511010
2016-05-16,空仓
2016-05-20,sh511010
2016-06-02,空仓
2016-06-03,sz159915
2016-07-07,sh510050
2016-07-08,sz159915
2016-07-25,sh510050
2016-08-01,sh511010
2016-08-05,sh510050
2016-08-08,sh511010
2016-08-12,sh510050
2016-08-26,sz159915
2016-08-30,sh510050
2016-09-06,sz159915
2016-09-12,空仓
2016-09-20,sh511010
2016-09-21,空仓
2016-09-23,sh511010
2016-10-10,sz159915
2016-10-13,sh511010
2016-10-19,sz159915
2016-10-21,sh510050
2016-12-14,空仓
2017-01-11,sh511010
2017-01-16,sh510050
2017-02-20,sz159915
2017-03-29,空仓
2017-03-31,sh510050
2017-04-14,sh511010
2017-04-17,空仓
2017-04-21,sh510050
2017-04-24,空仓
2017-05-12,sh510050
2017-06-29,sz159915
2017-07-05,sh510050
2017-08-11,sh511010
2017-08-14,sz159915
2017-09-13,sh510050
2017-09-15,sz159915
2017-09-25,空仓
2017-09-26,sz159915
2017-09-28,sh511010
2017-09-29,sz159915
