date,open,close
2011-12-09,0.795,0.797
2011-12-12,0.79,0.79
2011-12-13,0.788,0.768
2011-12-14,0.768,0.76
2011-12-15,0.755,0.752
2011-12-16,0.75,0.781
2011-12-19,0.775,0.795
2011-12-20,0.795,0.78
2011-12-21,0.786,0.766
2011-12-22,0.756,0.757
2011-12-23,0.75,0.761
2011-12-26,0.759,0.755
2011-12-27,0.75,0.729
2011-12-28,0.72,0.719
2011-12-29,0.713,0.718
2011-12-30,0.723,0.729
2012-01-04,0.735,0.708
2012-01-05,0.705,0.672
2012-01-06,0.668,0.67
2012-01-09,0.667,0.696
2012-01-10,0.696,0.72
2012-01-11,0.717,0.723
2012-01-12,0.717,0.711
2012-01-13,0.709,0.668
2012-01-16,0.656,0.635
2012-01-17,0.635,0.666
2012-01-18,0.665,0.624
2012-01-19,0.619,0.635
2012-01-20,0.634,0.648
2012-01-30,0.649,0.655
2012-01-31,0.652,0.65
2012-02-01,0.651,0.653
2012-02-02,0.654,0.67
2012-02-03,0.669,0.682
2012-02-06,0.683,0.69
2012-02-07,0.683,0.675
2012-02-08,0.677,0.696
2012-02-09,0.694,0.701
2012-02-10,0.7,0.701
2012-02-13,0.694,0.718
2012-02-14,0.715,0.715
2012-02-15,0.714,0.726
2012-02-16,0.723,0.723
2012-02-17,0.726,0.719
2012-02-20,0.725,0.723
2012-02-21,0.721,0.738
2012-02-22,0.738,0.762
2012-02-23,0.765,0.76
2012-02-24,0.758,0.764
2012-02-27,0.764,0.763
2012-02-28,0.758,0.75
2012-02-29,0.745,0.737
2012-03-01,0.733,0.743
2012-03-02,0.744,0.759
2012-03-05,0.76,0.761
2012-03-06,0.756,0.752
2012-03-07,0.743,0.749
2012-03-08,0.75,0.765
2012-03-09,0.767,0.779
2012-03-12,0.783,0.786
2012-03-13,0.787,0.793
2012-03-14,0.8,0.756
2012-03-15,0.759,0.747
2012-03-16,0.749,0.767
2012-03-19,0.764,0.78
2012-03-20,0.775,0.756
2012-03-21,0.759,0.75
2012-03-22,0.75,0.752
2012-03-23,0.75,0.74
2012-03-26,0.738,0.739
2012-03-27,0.746,0.737
2012-03-28,0.733,0.7
2012-03-29,0.698,0.686
2012-03-30,0.686,0.683
2012-04-05,0.68,0.701
2012-04-06,0.7,0.703
2012-04-09,0.701,0.691
2012-04-10,0.691,0.7
2012-04-11,0.69,0.701
2012-04-12,0.701,0.718
2012-04-13,0.719,0.722
2012-04-16,0.715,0.719
2012-04-17,0.719,0.71
2012-04-18,0.713,0.728
2012-04-19,0.726,0.728
2012-04-20,0.726,0.729
2012-04-23,0.725,0.686
2012-04-24,0.681,0.683
2012-04-25,0.681,0.684
2012-04-26,0.689,0.681
2012-04-27,0.68,0.688
2012-05-02,0.696,0.698
2012-05-03,0.697,0.703
2012-05-04,0.703,0.719
2012-05-07,0.717,0.737
2012-05-08,0.739,0.734
2012-05-09,0.729,0.724
